Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Menomonie,66,33024029,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Medford,33,33024029,28,64,1,6,9,25,66,12,21,33,17,17,18,5,15,0
Menomonie,63,33024031,12,33,4,8,3,10,31,6,15,21,2,32,9,1,11,0
New Richmond,33,33024031,27,52,5,12,4,18,63,9,16,25,16,0,19,1,10,0
Menomonie,51,33024033,17,33,4,12,7,15,45,3,22,25,15,29,12,1,0,0
Onalaska,45,33024033,19,47,5,12,8,19,51,9,11,18,13,21,11,4,11,0
Menomonie,46,33024034,20,0,6,0,4,0,50,6,19,25,10,21,10,6,11,0
Rice Lake,50,33024034,18,54,3,6,7,25,46,14,18,32,13,18,11,1,18,0
Menomonie,75,33024035,7,39,9,16,1,16,14,12,25,37,3,0,3,0,0,0
River Falls,38,33024035,22,60,4,7,4,16,52,9,19,28,15,9,11,3,15,0
Mercer,24,33024037,6,25,11,15,2,9,29,11,25,36,5,0,14,2,0,0
Butternut,29,33024037,9,39,6,18,0,6,24,13,17,30,6,18,9,2,15,0
Mercer,51,33024039,0,0,4,13,0,0,28,0,0,0,0,0,0,0,0,0
Chequamegon,28,33024039,21,53,9,22,0,8,51,12,24,36,14,22,17,0,13,0
Mercer,22,33024040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drummond,41,33024040,7,18,6,12,2,2,22,2,11,13,5,25,5,1,5,0
Mercer,17,33024042,34,66,5,8,10,26,83,22,15,37,19,0,15,0,0,0
Hurley,83,33024042,6,30,3,7,2,14,17,5,9,14,4,22,4,0,8,0
Lac Courte Oreilles,56,33024044,16,45,3,8,2,10,35,7,24,31,9,28,8,3,7,0
Mercer,35,33024044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,34,33024045,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
Mellen,58,33024045,13,38,8,13,0,9,34,12,25,37,7,32,5,0,7,0
Mercer,21,33024046,22,69,6,14,2,11,56,24,23,47,11,0,11,6,0,0
Solon Springs,56,33024046,10,52,1,6,0,15,21,12,23,35,6,20,2,2,11,0
Mercer,26,33024047,19,47,9,13,5,21,62,18,18,36,11,0,18,2,0,0
South Shore,62,33024047,11,39,2,4,2,13,26,7,21,28,6,25,2,1,11,0
Mercer,37,33024050,6,28,8,17,4,10,33,10,31,41,0,0,10,2,0,0
Washburn,33,33024050,13,50,10,14,1,4,37,12,28,40,10,23,11,1,16,0
Merrill,63,33024052,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
Antigo,36,33024052,23,67,10,15,7,32,63,17,27,44,12,11,9,2,14,0
Merrill,36,33024053,19,33,2,8,2,18,46,0,0,31,10,0,9,5,0,0
Crandon,46,33024053,12,44,8,13,4,28,36,5,23,28,6,10,4,1,11,0
Merrill,52,33024054,30,67,3,6,11,33,74,14,22,36,19,12,11,4,0,0
D.C. Everest,74,33024054,14,47,16,20,8,27,52,7,21,28,9,19,7,0,6,0
Merrill,19,33024055,26,50,8,13,5,15,65,9,29,38,17,15,21,1,0,0
Lakeland,63,33024055,8,45,2,8,1,18,19,9,14,23,3,24,7,0,14,0
Merrill,45,33024056,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Marshfield,61,33024056,16,56,3,9,8,25,45,10,16,26,8,18,11,0,14,0
Merrill,29,33024057,27,65,7,14,5,18,66,9,25,34,20,9,22,4,12,0
Mosinee,66,33024057,10,55,5,10,4,33,29,14,29,43,9,34,4,0,14,0
Merrill,27,33024059,28,62,6,14,6,18,68,20,24,33,25,0,23,0,0,0
Rhinelander,68,33024059,8,46,8,14,3,19,27,14,24,38,3,36,8,0,14,0
Merrill,54,33024061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waupaca,42,33024061,19,86,8,22,10,36,54,29,14,43,13,15,27,1,14,0
Merrill,38,33024062,16,54,9,17,6,22,47,0,0,33,11,0,15,0,0,0
Wausau East,47,33024062,14,49,5,12,5,20,38,13,21,34,9,18,9,2,17,0
Merrill,31,33024064,21,49,5,9,5,10,64,9,24,33,8,13,14,2,15,0
Wausau West,62,33024064,11,43,8,11,1,15,31,6,21,27,5,26,10,4,11,0
Messmer,35,33024065,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
Heritage Christian,83,33024065,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Messmer,66,33024068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOPE Christian,13,33024068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messmer,29,33024069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenosha Christian Life,40,33024069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messmer,12,33024070,34,60,4,10,7,16,79,15,18,33,17,8,10,2,4,0
Lake Country Lutheran,79,33024070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messmer,35,33024071,22,0,4,9,4,0,52,0,0,0,0,0,0,0,0,0
Living Word Lutheran,52,33024071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messmer,49,33024073,21,83,17,37,1,15,60,29,36,65,17,0,15,0,0,0
Saint Francis,60,33024073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messmer,18,33024074,31,0,5,12,4,0,71,0,0,0,0,0,0,0,0,0
Shorewood,71,33024074,5,0,8,10,0,0,18,0,0,0,0,0,0,0,0,0
Messmer,21,33024075,25,70,11,14,2,6,63,16,25,40,14,0,14,3,0,0
University School,63,33024075,9,0,1,2,2,0,21,0,0,0,0,0,0,0,0,0
Messmer,16,33024076,26,60,5,12,2,11,59,16,30,46,19,16,10,1,0,0
Wauwatosa East,59,33024076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messmer,24,33024078,36,72,4,8,5,22,81,17,30,47,25,12,11,2,8,0
Wauwatosa West,81,33024078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
